;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
0;Auctions;Order;lvmh;mm;12.0;L;A;4.95;5.0;-1.0
1;Auctions;Order;lvmh;bhd;0.0;L;A;5.05;8.0;-1.0
2;Auctions;Order;lvmh;moha;1.0;L;A;5.05;814.0;2.0
3;Auctions;##############################;;;;;;;;
4;Auctions;##############################;;;;;;;;
5;Auctions;##############################;;;;;;;;
6;Auctions;##############################;;;;;;;;
7;Auctions;##############################;;;;;;;;
8;Auctions;##############################;;;;;;;;
9;Auctions;##############################;;;;;;;;
10;Auctions;Order;lvmh;mm;13.0;L;B;4.94;8.0;-1.0
11;Auctions;Order;lvmh;moha2;1.0;L;B;4.84;5.0;2.0
12;Auctions;Order;lvmh;moha1;1.0;L;B;4.79;555.0;1.0
13;Auctions;##############################;;;;;;;;
14;Auctions;##############################;;;;;;;;
15;Auctions;##############################;;;;;;;;
16;Auctions;##############################;;;;;;;;
17;Auctions;##############################;;;;;;;;
18;Auctions;##############################;;;;;;;;
19;Auctions;##############################;;;;;;;;
20;Auctions;Order;lvmh;mm;24.0;L;A;4.91;5.0;-1.0
21;Auctions;Order;lvmh;bhd;1.0;L;A;4.97;766.0;-1.0
22;Auctions;Order;lvmh;bhd;0.0;L;A;5.05;8.0;-1.0
23;Auctions;Order;lvmh;moha;1.0;L;A;5.05;814.0;1.0
24;Auctions;##############################;;;;;;;;
25;Auctions;##############################;;;;;;;;
26;Auctions;##############################;;;;;;;;
27;Auctions;##############################;;;;;;;;
28;Auctions;##############################;;;;;;;;
29;Auctions;##############################;;;;;;;;
30;Auctions;Order;lvmh;mm;25.0;L;B;4.9;773.0;-1.0
31;Auctions;Order;lvmh;moha2;1.0;L;B;4.84;5.0;1.0
32;Auctions;##############################;;;;;;;;
33;Auctions;##############################;;;;;;;;
34;Auctions;##############################;;;;;;;;
35;Auctions;##############################;;;;;;;;
36;Auctions;##############################;;;;;;;;
37;Auctions;##############################;;;;;;;;
38;Auctions;##############################;;;;;;;;
39;Auctions;##############################;;;;;;;;
40;Auctions;Order;lvmh;mm;36.0;L;A;4.96;317.0;-1.0
41;Auctions;Order;lvmh;moha2;3.0;L;A;5.0;80.0;1.0
42;Auctions;Order;lvmh;bhd;2.0;L;A;5.07;1929.0;-1.0
43;Auctions;##############################;;;;;;;;
44;Auctions;##############################;;;;;;;;
45;Auctions;##############################;;;;;;;;
46;Auctions;##############################;;;;;;;;
47;Auctions;##############################;;;;;;;;
48;Auctions;##############################;;;;;;;;
49;Auctions;##############################;;;;;;;;
50;Auctions;Order;lvmh;mm;37.0;L;B;4.95;80.0;-1.0
51;Auctions;Order;lvmh;moha;3.0;L;B;4.91;314.0;1.0
52;Auctions;Order;lvmh;moha1;3.0;L;B;4.89;674.0;2.0
53;Auctions;##############################;;;;;;;;
54;Auctions;##############################;;;;;;;;
55;Auctions;##############################;;;;;;;;
56;Auctions;##############################;;;;;;;;
57;Auctions;##############################;;;;;;;;
58;Auctions;##############################;;;;;;;;
59;Auctions;##############################;;;;;;;;
60;Auctions;Order;lvmh;mm;48.0;L;A;5.0;44.0;-1.0
61;Auctions;Order;lvmh;moha;4.0;L;A;5.02;808.0;1.0
62;Auctions;Order;lvmh;bhd;3.0;L;A;5.08;1720.0;-1.0
63;Auctions;Order;lvmh;moha1;4.0;L;A;5.3;600.0;2.0
64;Auctions;##############################;;;;;;;;
65;Auctions;##############################;;;;;;;;
66;Auctions;##############################;;;;;;;;
67;Auctions;##############################;;;;;;;;
68;Auctions;##############################;;;;;;;;
69;Auctions;##############################;;;;;;;;
70;Auctions;Order;lvmh;mm;49.0;L;B;4.99;816.0;-1.0
71;Auctions;Order;lvmh;moha2;4.0;L;B;4.96;44.0;1.0
72;Auctions;Order;lvmh;moha3;4.0;L;B;4.95;49.0;2.0
73;Auctions;Order;lvmh;moha1;3.0;L;B;4.89;674.0;1.0
74;Auctions;##############################;;;;;;;;
75;Auctions;##############################;;;;;;;;
76;Auctions;##############################;;;;;;;;
77;Auctions;##############################;;;;;;;;
