;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
134;Auctions;##############################;;;;;;;;
135;Auctions;##############################;;;;;;;;
136;Auctions;##############################;;;;;;;;
137;Auctions;##############################;;;;;;;;
138;Auctions;##############################;;;;;;;;
139;Auctions;##############################;;;;;;;;
140;Auctions;Order;lvmh;moha3;8.0;L;A;4.99;82.0;1.0
141;Auctions;Order;lvmh;moha2;8.0;L;A;5.0;84.0;1.0
142;Auctions;##############################;;;;;;;;
143;Auctions;##############################;;;;;;;;
144;Auctions;##############################;;;;;;;;
145;Auctions;##############################;;;;;;;;
146;Auctions;##############################;;;;;;;;
147;Auctions;##############################;;;;;;;;
148;Auctions;##############################;;;;;;;;
149;Auctions;##############################;;;;;;;;
150;Auctions;Order;lvmh;saad;6.0;L;B;4.91;1958.0;-1.0
151;Auctions;Order;lvmh;moha;8.0;L;B;4.91;636.0;1.0
152;Auctions;Order;lvmh;moha1;8.0;L;B;4.91;788.0;2.0
153;Auctions;##############################;;;;;;;;
154;Auctions;##############################;;;;;;;;
155;Auctions;##############################;;;;;;;;
156;Auctions;##############################;;;;;;;;
157;Auctions;##############################;;;;;;;;
158;Auctions;##############################;;;;;;;;
159;Auctions;##############################;;;;;;;;
160;Auctions;Order;lvmh;bhd;8.0;L;A;5.0;788.0;-1.0
161;Auctions;##############################;;;;;;;;
162;Auctions;##############################;;;;;;;;
163;Auctions;##############################;;;;;;;;
164;Auctions;##############################;;;;;;;;
165;Auctions;##############################;;;;;;;;
166;Auctions;##############################;;;;;;;;
167;Auctions;##############################;;;;;;;;
168;Auctions;##############################;;;;;;;;
169;Auctions;##############################;;;;;;;;
170;Auctions;Order;lvmh;saad;6.0;L;B;4.91;1958.0;-1.0
171;Auctions;Order;lvmh;moha1;8.0;L;B;4.91;788.0;1.0
172;Auctions;Order;lvmh;moha2;9.0;L;B;4.89;86.0;2.0
173;Auctions;Order;lvmh;moha3;9.0;L;B;4.89;78.0;1.0
174;Auctions;Order;lvmh;moha;9.0;L;B;4.89;101.0;2.0
175;Auctions;##############################;;;;;;;;
176;Auctions;##############################;;;;;;;;
177;Auctions;##############################;;;;;;;;
178;Auctions;##############################;;;;;;;;
179;Auctions;##############################;;;;;;;;
180;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;788.0;-1.0
181;Auctions;##############################;;;;;;;;
182;Auctions;##############################;;;;;;;;
183;Auctions;##############################;;;;;;;;
184;Auctions;##############################;;;;;;;;
185;Auctions;##############################;;;;;;;;
186;Auctions;##############################;;;;;;;;
187;Auctions;##############################;;;;;;;;
188;Auctions;##############################;;;;;;;;
189;Auctions;##############################;;;;;;;;
190;Auctions;Order;lvmh;saad;6.0;L;B;4.91;1958.0;-1.0
191;Auctions;Order;lvmh;moha1;10.0;L;B;4.91;988.0;2.0
192;Auctions;Order;lvmh;moha3;10.0;L;B;4.91;87.0;2.0
193;Auctions;Order;lvmh;moha2;10.0;L;B;4.9;11.0;2.0
194;Auctions;Order;lvmh;moha2;9.0;L;B;4.89;86.0;1.0
195;Auctions;Order;lvmh;moha;9.0;L;B;4.89;101.0;1.0
196;Auctions;Order;lvmh;moha;10.0;L;B;4.89;868.0;1.0
197;Auctions;##############################;;;;;;;;
198;Auctions;##############################;;;;;;;;
199;Auctions;##############################;;;;;;;;
200;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;788.0;-1.0
201;Auctions;##############################;;;;;;;;
202;Auctions;##############################;;;;;;;;
203;Auctions;##############################;;;;;;;;
204;Auctions;##############################;;;;;;;;
205;Auctions;##############################;;;;;;;;
206;Auctions;##############################;;;;;;;;
207;Auctions;##############################;;;;;;;;
208;Auctions;##############################;;;;;;;;
209;Auctions;##############################;;;;;;;;
210;Auctions;Order;lvmh;saad;6.0;L;B;4.91;1958.0;-1.0
211;Auctions;Order;lvmh;moha1;10.0;L;B;4.91;988.0;1.0
212;Auctions;Order;lvmh;moha3;10.0;L;B;4.91;87.0;1.0
213;Auctions;Order;lvmh;moha2;10.0;L;B;4.9;11.0;1.0
214;Auctions;Order;lvmh;moha2;11.0;L;B;4.9;72.0;1.0
215;Auctions;Order;lvmh;moha3;11.0;L;B;4.9;83.0;2.0
216;Auctions;Order;lvmh;moha1;11.0;L;B;4.9;856.0;1.0
217;Auctions;Order;lvmh;moha;11.0;L;B;4.89;88.0;1.0
218;Auctions;##############################;;;;;;;;
219;Auctions;##############################;;;;;;;;
220;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;788.0;-1.0
221;Auctions;Order;lvmh;moha1;12.0;L;A;5.43;960.0;2.0
222;Auctions;Order;lvmh;moha;12.0;L;A;5.43;746.0;2.0
223;Auctions;Order;lvmh;moha3;12.0;L;A;5.43;61.0;1.0
224;Auctions;##############################;;;;;;;;
225;Auctions;##############################;;;;;;;;
226;Auctions;##############################;;;;;;;;
227;Auctions;##############################;;;;;;;;
228;Auctions;##############################;;;;;;;;
229;Auctions;##############################;;;;;;;;
230;Auctions;Order;lvmh;saad;6.0;L;B;4.91;1958.0;-1.0
231;Auctions;Order;lvmh;moha3;11.0;L;B;4.9;83.0;1.0
232;Auctions;Order;lvmh;moha2;12.0;L;B;4.89;57.0;2.0
233;Auctions;##############################;;;;;;;;
234;Auctions;##############################;;;;;;;;
235;Auctions;##############################;;;;;;;;
236;Auctions;##############################;;;;;;;;
237;Auctions;##############################;;;;;;;;
238;Auctions;##############################;;;;;;;;
239;Auctions;##############################;;;;;;;;
240;Auctions;Order;lvmh;moha2;13.0;L;A;5.0;59.0;2.0
241;Auctions;Order;lvmh;moha3;13.0;L;A;5.02;49.0;1.0
242;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;788.0;-1.0
243;Auctions;Order;lvmh;moha;13.0;L;A;5.42;242.0;1.0
244;Auctions;Order;lvmh;moha1;12.0;L;A;5.43;960.0;1.0
245;Auctions;Order;lvmh;moha;12.0;L;A;5.43;746.0;1.0
246;Auctions;##############################;;;;;;;;
247;Auctions;##############################;;;;;;;;
248;Auctions;##############################;;;;;;;;
249;Auctions;##############################;;;;;;;;
250;Auctions;Order;lvmh;saad;6.0;L;B;4.91;1958.0;-1.0
251;Auctions;Order;lvmh;moha1;13.0;L;B;4.9;699.0;2.0
252;Auctions;Order;lvmh;moha2;12.0;L;B;4.89;57.0;1.0
253;Auctions;##############################;;;;;;;;
254;Auctions;##############################;;;;;;;;
255;Auctions;##############################;;;;;;;;
256;Auctions;##############################;;;;;;;;
257;Auctions;##############################;;;;;;;;
258;Auctions;##############################;;;;;;;;
259;Auctions;##############################;;;;;;;;
260;Auctions;Order;lvmh;bhd;13.0;L;A;5.03;108.0;-1.0
261;Auctions;Order;lvmh;moha3;14.0;L;A;5.05;74.0;2.0
262;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;788.0;-1.0
263;Auctions;Order;lvmh;moha1;14.0;L;A;5.42;662.0;1.0
264;Auctions;Order;lvmh;moha2;14.0;L;A;5.44;47.0;2.0
265;Auctions;##############################;;;;;;;;
266;Auctions;##############################;;;;;;;;
267;Auctions;##############################;;;;;;;;
268;Auctions;##############################;;;;;;;;
269;Auctions;##############################;;;;;;;;
270;Auctions;Order;lvmh;saad;6.0;L;B;4.91;1958.0;-1.0
271;Auctions;Order;lvmh;moha1;13.0;L;B;4.9;699.0;1.0
272;Auctions;Order;lvmh;moha;14.0;L;B;4.89;739.0;2.0
273;Auctions;##############################;;;;;;;;
274;Auctions;##############################;;;;;;;;
275;Auctions;##############################;;;;;;;;
276;Auctions;##############################;;;;;;;;
277;Auctions;##############################;;;;;;;;
278;Auctions;##############################;;;;;;;;
