;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff
49;Tick;50;lvmh;5.06;5.05;5.04;115696;1.258068922979176;6954016;20.88088132632826;10.455371081395732
50;Tick;51;lvmh;5.06;5.05;5.04;74167;1.2475226716683467;7028183;20.815538660309517;10.307385165942172
51;Tick;52;lvmh;5.04;5.03;5.01;26650;1.2372224426306766;7054833;20.749396538252793;10.165565725497189
52;Tick;53;lvmh;5.01;5.0;5.0;23311;1.2328690985574973;7078144;20.709205876464367;9.81078155369927
53;Tick;54;lvmh;5.01;5.0;5.01;61973;1.230984596541758;7140117;20.705955980577816;9.39378055884281
54;Tick;55;lvmh;4.99;4.98;4.97;93172;1.2262947207496093;7233289;20.500912591767282;9.076336909279899
55;Tick;56;lvmh;5.0;4.99;4.98;26440;1.2334777966171395;7259729;20.41979642655014;9.66473914631966
56;Tick;57;lvmh;5.01;5.0;5.01;42630;1.2363162710560425;7302359;20.338457106771976;9.145412530359014
57;Tick;58;lvmh;5.01;5.0;5.01;15533;1.2308678194560245;7317892;20.356423424027955;8.879330039991117
58;Tick;59;lvmh;5.0;4.99;4.98;22955;1.2253961172955952;7340847;20.29099524233545;8.624827336103444
59;Tick;60;lvmh;5.01;5.0;4.99;17216;1.2272106807466392;7358063;20.297130387043467;8.172852366449968
60;Tick;61;lvmh;5.0;4.99;4.97;58678;1.2258725014578422;7416741;20.30984476130225;7.816565320627507
61;Tick;62;lvmh;5.01;5.0;4.97;8065;1.2298253463454316;7424806;20.31301321727672;7.7074040629930645
62;Tick;63;lvmh;5.0;4.99;4.97;24755;1.233189533353193;7449561;20.492482605197754;7.606090658029003
63;Tick;64;lvmh;4.99;4.98;4.97;25090;1.2360185821757976;7474651;20.508467908749147;12.330643448776692
64;Tick;65;lvmh;4.99;4.98;4.97;39090;1.2383604111632878;7513741;20.715504203017254;14.155984199240162
65;Tick;66;lvmh;4.99;4.98;4.97;14014;1.2402580376679682;7527755;20.669239146708627;19.36756721236805
66;Tick;67;lvmh;4.99;4.98;4.97;18590;1.2417501747547681;7546345;20.9440092981273;20.971573145972293
67;Tick;68;lvmh;4.99;4.98;4.97;32827;1.2428717421138402;7579172;20.898524111203063;28.63043406508048
68;Tick;69;lvmh;5.0;4.99;4.97;22462;1.2436543055072307;7601634;20.84238926539805;32.06151731537292
69;Tick;70;lvmh;4.98;4.97;4.95;53890;1.2441264563484649;7655524;20.86454466945691;35.503454855429766
70;Tick;71;lvmh;4.97;4.96;4.99;13118;1.2495423924286002;7668642;20.853487027776325;36.422248758556776
71;Tick;72;lvmh;4.97;4.96;4.95;10908;1.2454160941167052;7679550;20.853977808146915;36.18445223387523
72;Tick;73;lvmh;4.97;4.96;4.9;179844;1.2500406253179244;7859394;20.982471890187472;36.77061520202022
73;Tick;74;lvmh;4.89;4.88;4.8;187539;1.2709037520725024;8046933;21.175756455030726;36.465874300932114
74;Tick;75;lvmh;4.85;4.84;4.8;61429;1.3410046132750175;8108362;20.999216703831824;33.673876625598766
75;Tick;76;lvmh;4.85;4.84;4.8;10869;1.403938449922635;8119231;20.98172257932429;31.233891089124192
76;Tick;77;lvmh;4.84;4.83;4.8;7510;1.460845609479949;8126741;20.959295683980606;29.07926985144679
77;Tick;78;lvmh;4.84;4.83;4.8;14826;1.5125984486920665;8141567;20.928824952528977;27.160098495314678
78;Tick;79;lvmh;4.86;4.85;4.84;49699;1.5598833601382183;8191266;21.661776688453482;25.438019427098407
79;Tick;80;lvmh;4.84;4.83;4.8;4936;1.5863513933757474;8196202;21.664127111832197;24.310470980135204
80;Tick;81;lvmh;4.86;4.85;4.9;162729;1.6271070857059262;8358931;21.177945170984955;22.860889189435216
81;Tick;82;lvmh;4.87;4.86;4.87;9500;1.6315651805158156;8368431;21.14881905528766;22.3624137772934
82;Tick;83;lvmh;4.94;4.93;4.94;7000;1.6433336906390987;8375431;21.174970691634034;21.67752271973964
83;Tick;84;lvmh;4.92;4.91;4.9;4363;1.6392230264589107;8379794;21.23751533952692;21.581431471295303
84;Tick;85;lvmh;4.89;4.88;4.86;25969;1.642384117089103;8405763;21.25556275217209;21.137018033690097
85;Tick;86;lvmh;4.89;4.88;4.86;50423;1.6551655159391339;8456186;21.232895369538582;20.450639215671604
86;Tick;87;lvmh;4.88;4.87;4.91;1428;1.6670398414870997;8457614;21.23157290595796;19.798977940618656
87;Tick;88;lvmh;4.83;4.82;4.8;21931;1.6667785902007712;8479545;21.219063177962564;19.36250441498219
88;Tick;89;lvmh;4.82;4.81;4.8;27758;1.6962285289932284;8507303;21.61123500837897;18.341895323762042
89;Tick;90;lvmh;4.82;4.81;4.8;55657;1.7236794622730465;8562960;21.481999356481463;17.396660909255857
90;Tick;91;lvmh;4.82;4.81;4.8;4657;1.749302639723419;8567617;21.509832837089274;18.463241464213613
91;Tick;92;lvmh;4.82;4.81;4.8;55369;1.773248834363476;8622986;21.5538106610604;19.699557546668647
92;Tick;93;lvmh;4.82;4.81;4.8;30944;1.7956515931693433;8653930;21.570152895300758;18.955922015795213
93;Tick;94;lvmh;4.82;4.81;4.8;43430;1.816629844662877;8697360;22.179398065551865;18.340840105799572
94;Tick;95;lvmh;4.84;4.83;4.82;24524;1.8362900140734473;8721884;22.11402033767314;17.610031697923414
95;Tick;96;lvmh;4.82;4.81;4.79;78732;1.8493039034219458;8800616;22.071237452163214;16.63931704713368
96;Tick;97;lvmh;4.82;4.81;4.8;30496;1.8696189685920754;8831112;22.034803315169988;16.017378946297885
97;Tick;98;lvmh;4.82;4.81;4.79;31963;1.8859363758477394;8863075;21.95406376177288;15.406168969729343
98;Tick;99;lvmh;4.82;4.81;4.78;5585;1.9039457849061725;8868660;22.027822694715383;14.855257535622428
99;Tick;100;lvmh;4.82;4.81;4.78;53847;1.9236137228377626;8922507;22.034428931977672;14.961356861406653
100;Tick;101;lvmh;4.82;4.81;4.78;14116;1.9421190551154226;8936623;22.00222881550183;16.42975998958553
101;Tick;102;lvmh;4.81;4.8;4.78;3016;1.9595400551463027;8939639;22.00176404752147;16.878236502967635
102;Tick;103;lvmh;4.82;4.81;4.78;106728;1.9759479391427022;9046367;22.046216214867098;17.61420666900437
103;Tick;104;lvmh;4.81;4.8;4.78;1659;1.9914076995753627;9048026;22.049826887494206;18.074322731273863
104;Tick;105;lvmh;4.82;4.81;4.8;542;2.0059788154950904;9048568;22.04890632943286;18.055047098899497
105;Tick;106;lvmh;4.72;4.71;4.66;114744;2.0152118931663185;9163312;21.71680334711805;18.46720173736561
106;Tick;107;lvmh;4.69;4.68;4.66;10202;2.064348048689364;9173514;21.722968844354728;17.315117123957084
107;Tick;108;lvmh;4.68;4.67;4.66;19192;2.110397365684061;9192706;21.73201071614956;16.532814637289096
108;Tick;109;lvmh;4.68;4.67;4.66;76993;2.153639597701485;9269699;21.77696356950774;16.20840769933592
109;Tick;110;lvmh;4.68;4.67;4.66;4252;2.1943169423210316;9273951;21.776829715069077;15.91608998354045
110;Tick;111;lvmh;4.68;4.67;4.67;500;2.2326408363759596;9274451;21.775400044380078;15.651320025721043
111;Tick;112;lvmh;4.68;4.67;4.66;23478;2.2657927688596926;9297929;22.066232924315994;15.522393407933848
112;Tick;113;lvmh;4.67;4.66;4.65;56181;2.3000442052715746;9354110;22.07459643688358;16.163108294567646
113;Tick;114;lvmh;4.61;4.6;4.59;182603;2.3353457338446906;9536713;22.111033858438105;15.984952733585546
114;Tick;115;lvmh;4.6;4.59;4.57;164661;2.387568486765132;9701374;22.077925019535993;16.180103522702684
115;Tick;116;lvmh;4.61;4.6;4.57;23015;2.4434794313647634;9724389;22.022054440940753;15.74293133038691
116;Tick;117;lvmh;4.52;4.51;4.51;2592;2.496103253928583;9726981;22.054165453170423;15.350937323161562
117;Tick;118;lvmh;4.52;4.51;4.5;5011;2.5664044557003733;9731992;22.048127784946306;14.224317351993049
